,round,tube,sp,st,final_pop
58,0,2,1,"(0.0, 0.01819021681934756, 0.0, 0.012448714316837283, 0.0, 0.01498355219082073, 0.0, 0.0, 0.0154164923044359, 0.023187541493778534)",2
59,0,2,1,"(0.0, 0.01819021681934756, 0.0, 0.024584807322582867, 0.0, 0.01498355219082073, 0.0, 0.0, 0.009763850188949545, 0.023187541493778534)",1
60,0,2,1,"(0.0, 0.01819021681934756, 0.0, 0.028218339825728182, 0.0, 0.01498355219082073, 0.0, 0.0, 0.0154164923044359, 0.023187541493778534)",1
61,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010278941330958322, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",1
62,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",261
63,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0009136635997493263, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",1
64,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.000791812891126961, 0.0)",1
65,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0011392782405920457, 0.0)",4
66,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.001399561095362999, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",1
67,0,2,6,"(0.0006461338397390633, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",1
68,0,2,6,"(0.0012716975662455379, 0.0017962174811367102, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.001958386006001336, 0.0, 0.0009967762184583517, 0.0)",1
69,0,2,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0006328187634328502, 0.0)",1
70,0,2,6,"(0.001955350926718262, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",6
71,0,2,13,"(0.007387215280872875, 0.0, 0.0, 0.015729601905918704, 0.021108429396259877, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
72,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014437100810992226, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
73,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.04799610083950336, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013744215630663624)",2
74,0,2,13,"(0.006268746279175731, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",2
75,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.005554564158184956, 0.0, 0.0036202292047445217, 0.013558837205131282)",3
76,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.081566992683854e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",3
77,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.014112540967612799, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
78,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.005038624586785858, 0.0, 0.0036202292047445217, 0.013558837205131282)",2
79,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.0074997050791110065, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
80,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",487
81,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 2.2785536374411754e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",3
82,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.014918279475658146, 3.3744291980401765e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
83,0,2,13,"(0.008454230104447302, 0.0, 0.0, 0.015729601905918704, 0.008911271398633111, 3.170207648739196e-05, 0.007207709811237389, 0.0, 0.0036202292047445217, 0.013558837205131282)",1
84,0,2,14,"(0.2185471754640477, 0.0, 0.0, 0.0, 0.22949643409045659, 0.0, 0.28843072231157, 0.17501278722320576, 0.0, 0.049698220854624456)",3
85,0,3,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",45
86,0,3,1,"(0.0, 0.01819021681934756, 0.0, 0.024584807322582867, 0.0, 0.01498355219082073, 0.0, 0.0, 0.0154164923044359, 0.023187541493778534)",74
87,0,3,3,"(0.21779408507465228, 0.0, 0.0, 0.16372898147507048, 0.0, 0.0, 0.0829461165449352, 0.201638498493558, 0.13829687168753102, 0.0)",6
88,0,3,4,"(0.6150534142155257, 0.0, 0.0, 0.05305371719279086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19564515366205473)",7
89,0,3,4,"(0.7836376596858332, 0.0, 0.0, 0.04615552284070422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1702068174734625)",1
90,0,3,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",22
91,0,3,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",70
92,0,3,6,"(0.0012322230399183938, 0.0016924335176991608, 0.0010961133300019929, 0.0014223340938148072, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",1
93,0,3,8,"(0.0, 0.0, 0.0239412289912415, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.0783254885432377, 0.21240828662903488)",1
94,0,3,8,"(0.0, 0.0, 0.014343803074350563, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.21240828662903488)",1
95,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.055252885880985994, 0.21240828662903488)",1
