,round,tube,sp,st,final_pop
67,0,6,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",424
68,0,6,8,"(0.0, 0.01814478354635506, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",2
69,0,6,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00023918518504398016, 0.0, 0.0, 0.0)",1
70,0,6,8,"(0.0, 0.013371194459799082, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
71,0,6,8,"(0.0, 0.016643627919484913, 0.017240917647041953, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",2
72,0,6,8,"(0.0, 0.014146501209310476, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
73,0,6,8,"(0.0, 0.016643627919484913, 0.017822957405479928, 0.0, 0.0, 0.0, 0.00016955269396024393, 0.0, 0.0, 0.0)",5
74,0,6,8,"(0.0, 0.011466892602066923, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
75,0,6,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.09245249065431685, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
76,0,6,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",113
77,0,6,10,"(0.06183229356803319, 0.004108461071849399, 0.0691582928776301, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
78,0,6,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.17242901909652136, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
79,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.257101495829723, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
80,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.09801812361253684, 0.15326931270206787, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",3
81,0,7,1,"(0.014202899276094616, 0.0, 0.0, 0.053504515780614215, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",6
82,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.07856904460038047, 0.2667732097353895, 0.0, 0.0, 0.0, 0.2881162562357881, 0.0)",34
83,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.11269318698310986, 0.29548160480450053, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
84,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.13502567247911, 0.0)",1
85,0,7,1,"(0.007519951682248228, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.1362389705795675, 0.0)",5
86,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.14560664593740208, 0.0, 0.0, 0.0, 0.19618757727206923, 0.0)",1
87,0,7,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",550
88,0,7,2,"(0.0049839865232102236, 0.0, 0.050983883041683255, 0.0, 0.018018540426765272, 0.0, 0.0, 0.0, 0.0, 0.08105041580639258)",48
89,0,7,4,"(0.24048856012343162, 0.04886499162218148, 0.0, 0.044088279107617735, 0.0, 0.0, 0.0, 0.0, 0.14875458854448032, 0.16046160667189419)",3
90,0,7,4,"(0.16488775833997968, 0.04886499162218148, 0.0, 0.044088279107617735, 0.0, 0.0, 0.0, 0.0, 0.14875458854448032, 0.16046160667189419)",153
91,0,7,4,"(0.16488775833997968, 0.04886499162218148, 0.0, 0.044088279107617735, 0.0, 0.0, 0.0, 0.0, 0.14875458854448032, 0.16957135512560975)",3
92,0,7,5,"(0.0, 0.0, 0.0, 0.0, 0.020070694266657217, 0.025403479351308596, 0.04167957318608338, 0.0, 0.0, 0.0)",1
93,0,7,5,"(0.0, 0.0, 0.0, 0.0, 0.016247360322607856, 0.025403479351308596, 0.0359549700031496, 0.0, 0.0, 0.0)",5
94,0,7,5,"(0.0, 0.0, 0.0, 0.0, 0.020070694266657217, 0.025403479351308596, 0.0359549700031496, 0.0, 0.0, 0.0)",65
95,0,7,5,"(0.0, 0.0, 0.0, 0.0, 0.020070694266657217, 0.04042582248989882, 0.0359549700031496, 0.0, 0.0, 0.0)",1
96,0,8,7,"(0.0, 0.0, 0.0, 0.0, 0.11827426501322892, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",1
97,0,8,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.04490696778741933, 0.0, 0.24637420796171575)",2
98,0,8,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.09233705159620581, 0.0, 0.1842944379780426)",1
99,0,8,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",604
100,0,8,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05530918157885022, 0.0, 0.26795935871839166)",4
101,0,8,9,"(0.0155977793813739, 0.15454164483528007, 0.0, 0.1140728688063374, 0.05081840302231248, 0.0, 0.0, 0.19357617023637885, 0.1496420494238784, 0.053973238394523164)",14
102,0,8,11,"(0.0, 0.2757473975825492, 0.07272539253638714, 0.04040033156174563, 0.0, 0.2438918289056631, 0.0, 0.0, 0.12873704939550185, 0.0)",11
103,0,8,12,"(0.12030305783438261, 0.07098421666459682, 0.0, 0.0, 0.0, 0.0, 0.20188557309394728, 0.05107774537518032, 0.0, 0.057272911791666214)",2
104,0,8,12,"(0.19824381531951452, 0.07098421666459682, 0.0, 0.0, 0.0, 0.0, 0.1689466996549932, 0.05107774537518032, 0.0, 0.057272911791666214)",2
105,0,8,12,"(0.1431438549521808, 0.07098421666459682, 0.0, 0.0, 0.0, 0.0, 0.20188557309394728, 0.05107774537518032, 0.0, 0.057272911791666214)",129
106,0,9,5,"(0.0, 0.0, 0.0, 0.0, 0.020070694266657217, 0.025403479351308596, 0.0359549700031496, 0.0, 0.0, 0.0)",17
107,0,9,5,"(0.0, 0.0, 0.0, 0.0, 0.020070694266657217, 0.03311319692720655, 0.0359549700031496, 0.0, 0.0, 0.0)",1
108,0,9,6,"(0.03582317191957472, 0.14310947873894084, 0.0, 0.32923108847706883, 0.0, 0.12566354094304966, 0.0, 0.0, 0.3100360890930547, 0.0)",4
109,0,9,9,"(0.016221583487297266, 0.15454164483528007, 0.0, 0.1140728688063374, 0.05081840302231248, 0.0, 0.0, 0.19357617023637885, 0.1496420494238784, 0.053973238394523164)",2
110,0,9,9,"(0.0155977793813739, 0.15454164483528007, 0.0, 0.1140728688063374, 0.05081840302231248, 0.0, 0.0, 0.19357617023637885, 0.1496420494238784, 0.053973238394523164)",38
111,0,9,13,"(0.05539516110147199, 0.2324089457760683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10615007620645343, 0.0, 0.1750621008401039)",36
112,0,10,1,"(0.01423507054326358, 0.0, 0.0, 0.19080967170207075, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
113,0,10,1,"(0.027766253199935517, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
114,0,10,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.30746863237231536, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",14
115,0,10,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.20773728266158648, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
116,0,10,1,"(0.015107398875567862, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
117,0,10,1,"(0.01241179059765936, 0.0, 0.0, 0.06412106765003808, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
118,0,10,1,"(0.01423507054326358, 0.0, 0.0, 0.1531123544385097, 0.2667732097353895, 0.0, 0.0, 0.0, 0.2203998247932124, 0.0)",1
119,0,10,1,"(0.01423507054326358, 0.0, 0.0, 0.11728457681360646, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",2
