,round,tube,sp,st,final_pop
69,0,4,11,"(0.08401080207834671, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
70,0,4,11,"(0.09033430006888621, 0.12762082348766238, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",2
71,0,4,13,"(0.0, 0.0, 0.10034556690450132, 0.06920069129515957, 0.1751867109174281, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
72,0,4,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",165
73,0,5,8,"(0.13021427670765767, 0.0, 0.09886232529533268, 0.19763793821803854, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",4
74,0,5,8,"(0.13998239973424992, 0.0, 0.09886232529533268, 0.09247639241939104, 0.07338697159643023, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
75,0,5,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.0779194182185627, 0.0872640970246579, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
76,0,5,8,"(0.09369258606422372, 0.0, 0.049677239747824495, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",3
77,0,5,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",319
78,0,5,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.13695881845816468, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
79,0,5,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.03668687636044264, 0.0, 0.0, 0.0)",1
80,0,5,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.080534826341173, 0.0, 0.0, 0.0)",4
81,0,5,8,"(0.1142140674918929, 0.0, 0.0702641303948971, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",3
82,0,5,11,"(0.07072101437803172, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.036043951838460334)",2
83,0,5,11,"(0.11332893908890819, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
84,0,5,11,"(0.09033430006888621, 0.13809409571361203, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.011333071522400607)",4
85,0,5,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.015053910693140138)",1
86,0,5,11,"(0.08158276918436878, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",2
