,round,tube,sp,st,final_pop
157,0,13,5,"(0.0, 0.0, 0.0, 0.0, 0.031183207012249824, 0.031724545575177204, 0.016959388497766164, 0.0, 0.0, 0.0)",25
158,0,13,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.2322311848684762)",2
159,0,13,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",519
160,0,13,7,"(0.0, 0.0, 0.0, 0.0, 0.19987518403192386, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",3
161,0,13,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.11481887629129155)",1
162,0,13,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.06510652038195468, 0.0, 0.1842944379780426)",5
163,0,14,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",119
164,0,14,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03754070563165648, 0.0, 0.11127532438044803, 0.0)",4
165,0,14,0,"(0.0, 0.0, 0.0, 0.02017860539593646, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",1
166,0,14,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.05289324698193894, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",3
167,0,14,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",86
168,0,14,13,"(0.05539516110147199, 0.2324089457760683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10615007620645343, 0.0, 0.1750621008401039)",10
