,round,tube,sp,st,final_pop
54,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",271
55,0,4,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.10408608269964786, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",6
56,0,4,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",216
57,0,4,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.0626032566830669, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",4
58,0,4,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.02694072337293555, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",2
59,0,4,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",165
60,0,4,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.03496645948136951, 0.021879771781941056, 0.0, 0.010582402270324136, 0.04377134538079039, 0.0, 0.0)",1
61,0,4,12,"(0.06493001219200153, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
62,0,4,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",235
63,0,4,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.010804101182962307, 0.0753136500334503, 0.0, 0.0)",2
64,0,4,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.015101387306919557, 0.04377134538079039, 0.0, 0.0)",3
65,0,5,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",191
66,0,5,0,"(0.0, 0.09059708024140342, 0.14102952047366907, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",1
67,0,5,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.06270280923238031, 0.0841018434912883, 0.0, 0.0)",2
68,0,5,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",186
69,0,5,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.03076578990338793, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",1
70,0,5,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.0370263265259436, 0.0, 0.0)",1
71,0,5,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027196592879397435, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
72,0,5,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.02986812444518864, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",2
73,0,5,12,"(0.07487945010115842, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
74,0,5,12,"(0.08395350898307596, 0.13023076421854365, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
75,0,5,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",261
76,0,6,0,"(0.0, 0.09059708024140342, 0.1368275334947081, 0.005807031384544658, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",1
77,0,6,0,"(0.0, 0.09059708024140342, 0.1368275334947081, 0.005807031384544658, 0.10644264800596225, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",1
78,0,6,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.18750131250293803, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",1
