,round,tube,sp,st,final_pop
47,0,4,1,"(0.0, 0.0, 0.1393581122449974, 0.0, 0.0, 0.05156598342445643, 0.0, 0.0, 0.0, 0.09965925051150999)",4
48,0,4,1,"(0.0, 0.0, 0.12857968674947243, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",1
49,0,4,1,"(0.0, 0.0, 0.10790880621249394, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",5
50,0,4,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",730
51,0,4,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.06220004778649932, 0.0, 0.0, 0.0, 0.09965925051150999)",1
52,0,4,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.0873059951685661, 0.0, 0.0, 0.0, 0.09965925051150999)",2
53,0,4,1,"(0.0, 0.0, 0.07138593752863844, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",2
54,0,4,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.08558362552904851)",8
55,0,4,4,"(0.18133528319020414, 0.03459178595702372, 0.27515118758613866, 0.2245834099047765, 0.008517090718657762, 0.0, 0.0, 0.0, 0.0, 0.17724391245611096)",29
56,0,4,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.06690011631380444, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",2
57,0,4,8,"(0.35038576611787475, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.03567237885609202, 0.1614812910360377, 0.0, 0.0)",1
58,0,4,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",224
59,0,4,8,"(0.2610930913673562, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",1
60,0,4,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.07322221402601568, 0.1116381245929446, 0.0, 0.0)",1
61,0,4,12,"(0.05589117275961022, 0.0, 0.0, 0.38606904502592293, 0.0, 0.21562137735691253, 0.2516707664860597, 0.0, 0.0, 0.0)",1
62,0,5,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.1077253003794525)",5
63,0,5,1,"(0.0, 0.0, 0.04458299154598141, 0.0, 0.0, 0.05220036139121397, 0.0, 0.0, 0.0, 0.08351613436747567)",3
64,0,5,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",538
65,0,5,1,"(0.0, 0.0, 0.09776768222755006, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",1
66,0,5,3,"(0.10658025739662867, 0.13631318100447085, 0.10626440874649026, 0.17986179034481845, 0.0, 0.13886227364948178, 0.0, 0.24212485066826203, 0.0, 0.0)",2
67,0,5,7,"(0.0, 0.0, 0.0, 0.0, 0.3818677736561376, 0.16154918232038468, 0.0, 0.0, 0.2477574097883513, 0.0)",2
68,0,5,12,"(0.05589117275961022, 0.0, 0.0, 0.38606904502592293, 0.0, 0.21562137735691253, 0.2516707664860597, 0.0, 0.0, 0.0)",4
69,0,6,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",575
70,0,6,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.07255160494230058)",2
71,0,6,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.06667680466425435, 0.0, 0.0, 0.0, 0.09965925051150999)",1
72,0,6,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.1223930755436875)",3
73,0,6,1,"(0.0, 0.0, 0.10746921192108702, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",1
74,0,6,1,"(0.0, 0.0, 0.1739360233086961, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.06610857836407469)",1
75,0,6,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.09082223304927517, 0.0, 0.0, 0.0, 0.0978988724984144)",1
76,0,6,1,"(0.0, 0.0, 0.12426935901448544, 0.0, 0.0, 0.1454317529950951, 0.0, 0.0, 0.0, 0.09965925051150999)",2
77,0,6,1,"(0.0, 0.0, 0.20986198399908804, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",2
78,0,6,2,"(0.0, 0.15023190704395425, 0.0, 0.4040474799620638, 0.0, 0.0, 0.2640465549621217, 0.0, 0.0, 0.0)",5
79,0,6,5,"(0.13228796752154168, 0.07907080207865028, 0.0534257482445832, 0.17977192363034628, 0.0, 0.0, 0.15570506977525858, 0.0, 0.0, 0.1654301297616405)",14
80,0,6,8,"(0.15578847438707422, 0.046525949225991035, 0.0, 0.0, 0.07522864424735752, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",1
81,0,6,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",222
82,0,6,8,"(0.17784301261038055, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",1
